metodo,nome_sequencia,fator_ruido,quantidade_observacoes,n,media_ns,desvio_padrao_ns,minimo_ns,q1_ns,mediana_ns,q3_ns,p95_ns,maximo_ns,media_ms,mediana_ms,q1_ms,q3_ms,p95_ms
viterbi,circuito_horario,1.0,6,1000,4936636.783,204354.98018783252,4443354,4795557.0,4918300.0,5051804.5,5289010.45,6405694,4.936636783,4.9183,4.795557,5.0518045,5.28901045
viterbi,circuito_horario,1.25,6,1000,4962869.361,190079.12266528324,4492614,4830703.5,4942374.5,5081798.25,5289588.35,5667182,4.962869360999999,4.9423745,4.8307035,5.08179825,5.28958835
viterbi,circuito_horario,1.5,6,1000,4920882.609,180637.79379019662,4472879,4791635.5,4905276.0,5045335.25,5239237.1,5718004,4.920882609,4.905276,4.7916355,5.04533525,5.2392370999999995
viterbi,circuito_horario,2.0,6,1000,4939617.805,238851.07193286455,4510005,4786407.5,4912007.5,5052500.25,5289772.95,7847747,4.939617805,4.9120075,4.7864075,5.05250025,5.289772950000001
viterbi,inspecao_com_saltos,0.5,6,1000,4812729.804,472637.3788942507,4302345,4595363.75,4730193.0,4881000.75,5373908.6,10490993,4.812729804,4.730193,4.59536375,4.88100075,5.3739086
viterbi,inspecao_com_saltos,0.75,6,1000,4700124.1,353751.7177751771,4311925,4538625.25,4655389.0,4791892.75,5028816.45,9357175,4.7001241,4.655389,4.53862525,4.79189275,5.02881645
viterbi,inspecao_com_saltos,1.0,6,1000,4643530.122,190765.46452330943,4262611,4504439.0,4617456.0,4747486.75,5007167.7,5598511,4.6435301220000005,4.617456,4.504439,4.74748675,5.0071677
viterbi,inspecao_com_saltos,1.25,6,1000,4779750.328,210882.1880027836,4326647,4626728.5,4756799.0,4913283.75,5151980.5,6045721,4.7797503279999995,4.756799,4.6267285,4.91328375,5.1519805
viterbi,inspecao_com_saltos,1.5,6,1000,4787883.567,213823.2129369919,4272794,4633565.25,4775158.5,4922156.5,5156432.8,5705767,4.787883567,4.7751585,4.63356525,4.9221565,5.1564328
viterbi,inspecao_com_saltos,2.0,6,1000,4752419.681,196729.71891209614,4293656,4604722.0,4729630.5,4876811.5,5109876.149999999,5416672,4.752419681,4.7296305,4.604722,4.8768115,5.10987615
viterbi,troca_central_longa,0.5,6,1000,4805273.204,288244.85158053605,4342844,4643006.75,4782684.5,4924412.75,5145339.05,10900885,4.805273204,4.7826845,4.64300675,4.92441275,5.14533905
viterbi,troca_central_longa,0.75,6,1000,4840123.596,479887.6400194638,4325293,4628327.5,4786450.0,4961847.0,5252429.85,13636367,4.840123596,4.78645,4.6283275,4.961847,5.2524298499999995
viterbi,troca_central_longa,1.0,6,1000,4829667.839,367213.2318421585,4324507,4626132.0,4771257.5,4955961.25,5260809.6,9512209,4.829667839,4.7712575,4.626132,4.95596125,5.2608096
viterbi,troca_central_longa,1.25,6,1000,4765084.334,335890.94229164306,4298783,4577896.25,4708575.0,4883870.75,5195658.0,9283375,4.765084334,4.708575,4.57789625,4.88387075,5.195658
viterbi,troca_central_longa,1.5,6,1000,4711820.229,311126.8650571807,4277662,4531115.75,4660969.5,4809296.75,5118593.85,7845120,4.711820229000001,4.6609695,4.53111575,4.80929675,5.11859385
viterbi,troca_central_longa,2.0,6,1000,4590603.63,153223.66043315086,4257646,4482458.75,4576361.0,4675497.0,4844659.149999999,5766620,4.5906036299999995,4.576361,4.48245875,4.675497,4.844659149999999
